WBS;Capitulo;Subcapitulo;Actividad;Semana;BAC;PV;EV;AC;Comentario_Operativo;Comentario_Administrativo
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;6;6877;6876;6876;6876;Frente operativo.;Ejecucion conforme.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;7;6877;6877;6877;8022;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;8;6877;6877;6877;9168;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;9;6877;6877;6877;10314;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;10;6877;6877;6877;11460;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;11;6877;6877;6877;12606;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;12;6877;6877;6877;13752;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;13;6877;6877;6877;14898;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;14;6877;6877;6877;16044;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;15;6877;6877;6877;17190;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;16;6877;6877;6877;18336;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;17;6877;6877;6877;19482;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;18;6877;6877;6877;20628;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;19;6877;6877;6877;21774;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;20;6877;6877;6877;22920;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;1;6877;1146;1146;1146;Frente operativo.;Ejecucion conforme.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;2;6877;2292;2292;2292;Frente operativo.;Ejecucion conforme.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;3;6877;3438;3438;3438;Frente operativo.;Ejecucion conforme.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;4;6877;4584;4584;4584;Frente operativo.;Ejecucion conforme.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;5;6877;5730;5730;5730;Frente operativo.;Ejecucion conforme.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;6;6877;6876;6876;6876;Frente operativo.;Ejecucion conforme.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;7;6877;6877;6877;8022;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;8;6877;6877;6877;9168;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;9;6877;6877;6877;10314;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;10;6877;6877;6877;11460;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;11;6877;6877;6877;12606;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;12;6877;6877;6877;13752;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;13;6877;6877;6877;14898;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;14;6877;6877;6877;16044;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;15;6877;6877;6877;17190;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;16;6877;6877;6877;18336;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;17;6877;6877;6877;19482;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;18;6877;6877;6877;20628;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;19;6877;6877;6877;21774;Actividad terminada.;Costo cerrado.
1.1.3;1. Ingeniería;1.1 Estudios Previos;Estudio Resistividad;20;6877;6877;6877;22920;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;1;6877;1146;1146;1146;Frente operativo.;Ejecucion conforme.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;2;6877;2292;2292;2292;Frente operativo.;Ejecucion conforme.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;3;6877;3438;3438;3438;Frente operativo.;Ejecucion conforme.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;4;6877;4584;4584;4584;Frente operativo.;Ejecucion conforme.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;5;6877;5730;5730;5730;Frente operativo.;Ejecucion conforme.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;6;6877;6876;6876;6876;Frente operativo.;Ejecucion conforme.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;7;6877;6877;6877;8022;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;8;6877;6877;6877;9168;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;9;6877;6877;6877;10314;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;10;6877;6877;6877;11460;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;11;6877;6877;6877;12606;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;12;6877;6877;6877;13752;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;13;6877;6877;6877;14898;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;14;6877;6877;6877;16044;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;15;6877;6877;6877;17190;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;16;6877;6877;6877;18336;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;17;6877;6877;6877;19482;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;18;6877;6877;6877;20628;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;19;6877;6877;6877;21774;Actividad terminada.;Costo cerrado.
1.1.4;1. Ingeniería;1.1 Estudios Previos;Licencia Ambiental;20;6877;6877;6877;22920;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;1;6877;1146;1146;1146;Frente operativo.;Ejecucion conforme.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;2;6877;2292;2292;2292;Frente operativo.;Ejecucion conforme.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;3;6877;3438;3438;3438;Frente operativo.;Ejecucion conforme.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;4;6877;4584;4584;4584;Frente operativo.;Ejecucion conforme.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;5;6877;5730;5730;5730;Frente operativo.;Ejecucion conforme.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;6;6877;6876;6876;6876;Frente operativo.;Ejecucion conforme.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;7;6877;6877;6877;8022;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;8;6877;6877;6877;9168;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;9;6877;6877;6877;10314;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;10;6877;6877;6877;11460;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;11;6877;6877;6877;12606;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;12;6877;6877;6877;13752;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;13;6877;6877;6877;14898;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;14;6877;6877;6877;16044;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;15;6877;6877;6877;17190;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;16;6877;6877;6877;18336;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;17;6877;6877;6877;19482;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;18;6877;6877;6877;20628;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;19;6877;6877;6877;21774;Actividad terminada.;Costo cerrado.
1.1.5;1. Ingeniería;1.1 Estudios Previos;Aprobacion Trazado;20;6877;6877;6877;22920;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;1;6877;1146;1146;1146;Frente operativo.;Ejecucion conforme.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;2;6877;2292;2292;2292;Frente operativo.;Ejecucion conforme.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;3;6877;3438;3438;3438;Frente operativo.;Ejecucion conforme.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;4;6877;4584;4584;4584;Frente operativo.;Ejecucion conforme.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;5;6877;5730;5730;5730;Frente operativo.;Ejecucion conforme.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;6;6877;6876;6876;6876;Frente operativo.;Ejecucion conforme.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;7;6877;6877;6877;8022;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;8;6877;6877;6877;9168;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;9;6877;6877;6877;10314;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;10;6877;6877;6877;11460;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;11;6877;6877;6877;12606;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;12;6877;6877;6877;13752;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;13;6877;6877;6877;14898;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;14;6877;6877;6877;16044;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;15;6877;6877;6877;17190;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;16;6877;6877;6877;18336;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;17;6877;6877;6877;19482;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;18;6877;6877;6877;20628;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;19;6877;6877;6877;21774;Actividad terminada.;Costo cerrado.
1.1.6;1. Ingeniería;1.1 Estudios Previos;Estudio Arqueologico;20;6877;6877;6877;22920;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;1;6877;0;0;0;No iniciada;No iniciada
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;2;6877;0;0;0;No iniciada;No iniciada
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;3;6877;859;859;859;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;4;6877;1718;1718;1718;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;5;6877;2577;2577;2577;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;6;6877;3436;3436;3436;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;7;6877;4295;4295;4295;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;8;6877;5154;5154;5154;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;9;6877;6013;6013;6013;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;10;6877;6872;6872;6872;Frente operativo.;Ejecucion conforme.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;11;6877;6877;6877;7731;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;12;6877;6877;6877;8590;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;13;6877;6877;6877;9449;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;14;6877;6877;6877;10308;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;15;6877;6877;6877;11167;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;16;6877;6877;6877;12026;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;17;6877;6877;6877;12885;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;18;6877;6877;6877;13744;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;19;6877;6877;6877;14603;Actividad terminada.;Costo cerrado.
1.2.1;1. Ingeniería;1.2 Ingeniería Básica;Diagrama Unifilar;20;6877;6877;6877;15462;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;1;6877;0;0;0;No iniciada;No iniciada
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;2;6877;0;0;0;No iniciada;No iniciada
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;3;6877;859;859;859;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;4;6877;1718;1718;1718;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;5;6877;2577;2577;2577;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;6;6877;3436;3436;3436;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;7;6877;4295;4295;4295;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;8;6877;5154;5154;5154;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;9;6877;6013;6013;6013;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;10;6877;6872;6872;6872;Frente operativo.;Ejecucion conforme.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;11;6877;6877;6877;7731;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;12;6877;6877;6877;8590;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;13;6877;6877;6877;9449;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;14;6877;6877;6877;10308;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;15;6877;6877;6877;11167;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;16;6877;6877;6877;12026;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;17;6877;6877;6877;12885;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;18;6877;6877;6877;13744;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;19;6877;6877;6877;14603;Actividad terminada.;Costo cerrado.
1.2.2;1. Ingeniería;1.2 Ingeniería Básica;Disposicion Planta;20;6877;6877;6877;15462;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;1;6877;0;0;0;No iniciada;No iniciada
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;2;6877;0;0;0;No iniciada;No iniciada
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;3;6877;859;859;859;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;4;6877;1718;1718;1718;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;5;6877;2577;2577;2577;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;6;6877;3436;3436;3436;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;7;6877;4295;4295;4295;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;8;6877;5154;5154;5154;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;9;6877;6013;6013;6013;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;10;6877;6872;6872;6872;Frente operativo.;Ejecucion conforme.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;11;6877;6877;6877;7731;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;12;6877;6877;6877;8590;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;13;6877;6877;6877;9449;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;14;6877;6877;6877;10308;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;15;6877;6877;6877;11167;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;16;6877;6877;6877;12026;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;17;6877;6877;6877;12885;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;18;6877;6877;6877;13744;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;19;6877;6877;6877;14603;Actividad terminada.;Costo cerrado.
1.2.3;1. Ingeniería;1.2 Ingeniería Básica;Specs Trafo;20;6877;6877;6877;15462;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;1;6877;0;0;0;No iniciada;No iniciada
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;2;6877;0;0;0;No iniciada;No iniciada
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;3;6877;859;859;859;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;4;6877;1718;1718;1718;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;5;6877;2577;2577;2577;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;6;6877;3436;3436;3436;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;7;6877;4295;4295;4295;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;8;6877;5154;5154;5154;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;9;6877;6013;6013;6013;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;10;6877;6872;6872;6872;Frente operativo.;Ejecucion conforme.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;11;6877;6877;6877;7731;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;12;6877;6877;6877;8590;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;13;6877;6877;6877;9449;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;14;6877;6877;6877;10308;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;15;6877;6877;6877;11167;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;16;6877;6877;6877;12026;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;17;6877;6877;6877;12885;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;18;6877;6877;6877;13744;Actividad terminada.;Costo cerrado.
1.2.4;1. Ingeniería;1.2 Ingeniería Básica;Cortocircuito;19;6877;6877;6877;14603;Actividad terminada.;Costo cerrado.
